"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10","topic_11","topic_12","topic_13","topic_14","topic_15","topic_16","topic_17","topic_18","topic_19","topic_20","topic_21","topic_22","topic_23","topic_24","topic_25","topic_26","topic_27","topic_28","topic_29","topic_30","topic_31","topic_32","topic_33","topic_34","topic_35","topic_36","topic_37","topic_38","topic_39","topic_40","topic_41","topic_42","topic_43","topic_44","topic_45","topic_46","topic_47","topic_48","topic_49","topic_50","msoa11cd"
0,0.0065,1e-04,0,0.0088,0,0,0,6e-04,0.0236,0,0.1926,0,0.2008,4e-04,0,0,1e-04,0.0099,0,0,0.0012,0.0192,0,2e-04,1e-04,0,0,4e-04,1e-04,0.0225,0.0015,0.0033,0,0.2408,0.0183,0.0592,0,0.0202,0,0.0152,1e-04,0,0,0,0,0,0,0.1542,0,"E02001028"
0,0.006,0,0.0131,0.0538,0,0,0.0066,9e-04,0.0037,0,0,0.001,2e-04,0.1508,0,0.0154,0.0104,0,0,0.0086,0.0598,0.0029,0,0,0,0.0505,0.0035,0,0,0.0046,0.0019,0.308,0,0.0071,0.0144,0.0407,0,0,0,0.002,0.0223,0.0616,0,0.1501,0,0,0,0,0,"E02001029"
0.2244,0,0.0517,1e-04,1e-04,0,0.0019,0,0.0069,0.0164,0,0,0,0,0.4329,0,0,1e-04,0.0125,0,0,0,3e-04,0,0,0,0.0578,0.0334,1e-04,4e-04,0.0096,6e-04,7e-04,0,0,0,0,0.1076,8e-04,0,0.0199,2e-04,0.0203,0,2e-04,8e-04,0,0,0,0,"E02001030"
0.0363,0.0791,0.0801,0,0.0607,3e-04,0,5e-04,0,0,0.0038,0,0.0058,0,0.0011,0.0212,0.0018,0,0,0,0.029,0.0044,0,1e-04,0,5e-04,0.0093,0.2642,0,0,0,0,0,0.031,0,0,0.1927,0,0,0.005,0,0,0,0,0.0029,0.001,0.1673,5e-04,0.0012,0,"E02001031"
0,0,0,0,0,0.0308,0,0.4163,0,0.003,0.0627,0,0.0279,4e-04,0.0143,1e-04,0,0.0562,0.0253,0.002,0.0012,0,0,0,7e-04,0.011,0.0655,0,0,0,0,4e-04,0.0025,0,7e-04,0,1e-04,0,0.0019,0.033,0,1e-04,0,0,9e-04,0,0.0012,0.2185,0.0234,0,"E02001032"
1e-04,0,0.0102,0,0,0,0,0.0178,0,0.019,0.0024,0.2718,0.0366,0.0905,0,0.001,7e-04,0,0,0,1e-04,0.0011,0,0,0.2289,0.001,0,0,0.127,5e-04,0.0017,0,0.0333,0,0.0162,0,0,4e-04,0,0,0.0771,0,1e-04,6e-04,0.0032,0.0023,0.0062,0.0334,0.0165,0,"E02001033"
0.0083,0,0.2701,0,0,1e-04,0.0041,0.0157,0.0228,0.0054,0,0,1e-04,0,0,2e-04,0,0.1265,4e-04,0.1028,0,0.0038,0,0.0526,0,0.0028,0,0,0,0,0.0012,0,0.1727,3e-04,0,0,0,0,0,0.0111,7e-04,0,0.0057,4e-04,0,0,0.1921,0,0,0,"E02001034"
0,0.0083,0,0.0018,0.0555,0,0,0.1842,0,0,0.2972,0,0.059,0.0017,0,0,0,7e-04,0,0.0141,0,0.0027,3e-04,0.003,0,0.001,0.0041,0.1108,0,0,0.0063,0.0108,0.1099,0,0.0641,4e-04,0,0.0053,0.0034,0,0,0,0,0,0.0269,0,8e-04,0.0273,0,0,"E02001035"
6e-04,0,0,0.0122,0.0353,3e-04,1e-04,0,0.2646,0,0,0.0027,2e-04,0.027,0.0288,0,0,9e-04,0.0958,0,0.0331,5e-04,3e-04,0,0.0043,0,0,0,1e-04,1e-04,0.0162,1e-04,0.033,0.002,0.0027,0.0485,0,0,0,0,0,0.0031,3e-04,0,0.1479,0.1166,2e-04,0,0.1129,0.0095,"E02001036"
0.1341,0.0021,0,0,7e-04,0.0325,1e-04,0,0,0,0,0,0,0.0036,0,0.0349,0,0.0029,0.1775,0.0072,0,0,0,0,0,5e-04,0,3e-04,0.0191,0,0.0134,0,0,0.1394,0.0026,0,0.0343,0,0.0466,0,0.0209,0.1178,0,0,0.199,0,1e-04,0.01,2e-04,0,"E02001037"
0,0,0.0058,0.0331,0,6e-04,0,0.0248,2e-04,0.0021,0,0,1e-04,0,2e-04,0.0017,0,0,0.017,1e-04,2e-04,0.0313,0.0531,0.0351,0,0.0061,0.2276,0.0749,0.2193,0,0,0.0012,0,0,0.0016,4e-04,0.2094,7e-04,0.0094,0,1e-04,0,7e-04,0,0.0295,0,4e-04,0.0132,1e-04,0,"E02001038"
2e-04,1e-04,1e-04,0.0317,0.2803,0,7e-04,0,0.0493,4e-04,0,0.241,0,0,0.0016,5e-04,0,0,0.1482,0,1e-04,9e-04,2e-04,0.0906,0.0108,0.005,0,0,0.0023,0.0011,0.0145,0.0023,0,0,3e-04,0,0.0252,0.0056,7e-04,0.0647,0.0074,0,0,6e-04,0,0.0023,0.0028,0,5e-04,0.0079,"E02001039"
0,0,0.001,0,0.0446,0.0358,0,0.0036,0,0.2473,0.1004,0.0326,1e-04,0,0,1e-04,1e-04,0,0.1501,0,0,0,0,0,0,0.2306,0.0101,0.0033,0.0011,0.0301,3e-04,2e-04,0,0,0.0228,0,0.0102,0.0096,0,0,0.039,0,0,0,0.001,0,0.0194,0.0011,0,0.0055,"E02001040"
0.0035,0,0.0037,0,0,0,0,0.3214,0.0067,0,0.0621,0,0,0,0,0,0.1618,0.1409,3e-04,0,7e-04,0,0.0091,2e-04,0,1e-04,0.0048,0.0429,0,4e-04,3e-04,0.0049,0,0.0184,0,1e-04,0.07,2e-04,0.0047,0,0,0.045,0.0037,0,0,0.0186,0.0699,0.0056,0,0,"E02001041"
1e-04,2e-04,0,0.2331,6e-04,0.0562,0,0,2e-04,0.0171,0,0.0735,0,0,0,0.001,1e-04,0.0293,0.1079,0.0012,0,0.0253,0,0.0034,1e-04,0,0.0041,0,0.155,0,0.0269,0,8e-04,0,1e-04,0.0069,1e-04,1e-04,0.248,1e-04,5e-04,0.0015,0.0015,0,0,0,0.0038,7e-04,7e-04,0,"E02001042"
0.003,0,0.0292,0.0735,0,0,0.1903,0.0013,2e-04,4e-04,0,3e-04,5e-04,3e-04,0,0,6e-04,0.0124,0.1173,0,0.0213,0.0049,9e-04,6e-04,1e-04,0.0349,0,0,0,5e-04,8e-04,0,0.0198,0.0899,0.0867,0.159,0,0.0017,0.0028,0.0953,0,9e-04,0,0,0.0203,0,0,0,0,0.0303,"E02001043"
0,0,0.1722,0,0,0,9e-04,0.0059,0.0064,0.0159,0.0807,0.0225,0,2e-04,0.0081,0,0.0472,0,0,0,0,0.0077,0,0.0029,0,0.0274,0,0.0138,0,0,0.1986,0.0452,0,0,0,0,0,0,2e-04,7e-04,0,0.2061,0.0411,0,0,0,0,0,0,0.0964,"E02001044"
0,0.0055,0.0043,0.2529,0,0,0.1123,1e-04,0,0.0016,2e-04,0,0.0098,0,5e-04,0,8e-04,0.102,0,5e-04,0.0409,0,0,1e-04,0,1e-04,0,0,0.0091,0,2e-04,0,0,1e-04,0,0.0213,0.0105,0.0353,0,0.0083,0.0011,4e-04,0,0.0346,8e-04,0.0136,0,0,0.0337,0.2993,"E02001045"
0.1253,0,0,0.0163,0,0.0553,0.0436,0.0809,0,4e-04,0,0.0237,0,3e-04,0.005,9e-04,0.0021,0.0025,0,0,6e-04,0,0,5e-04,0.0392,0.0427,0.2759,1e-04,0,0,0.0225,2e-04,0,4e-04,0,0.0049,0,1e-04,0.1321,0.0614,0,4e-04,0.0024,0,0.0145,0,0,0.003,0.0014,0.0413,"E02001046"
6e-04,0.0333,0,0,0.0076,0,0,0,0,0,0,0.0045,0,0.0842,0.0419,0.0038,0.0528,0,0,0.0055,0,0.007,0,0.2964,0,0,0,0,0,0.0028,0.025,0,3e-04,0,0,0,0,0,6e-04,0,0,0.0215,0.0155,0.0732,0.0503,0,0.2526,0.0198,5e-04,2e-04,"E02001047"
0,0,0.0057,3e-04,0,0,0.2369,0,2e-04,0,0,0,0,0.0072,0.1368,0.0017,0.2296,0.0013,0,0,0.0225,0.0175,4e-04,9e-04,0.0336,0.0015,0.0432,0.093,0,0.0029,0,0,0.1047,0.0283,0,3e-04,9e-04,0,0,0.0066,0,0,0,0,1e-04,3e-04,9e-04,0,0.0226,0,"E02001048"
0,0.0479,0,2e-04,0,2e-04,0,0.1144,1e-04,8e-04,0.0688,0,0,0.0041,0.0203,0,0.0019,5e-04,0,0,0,0.0108,0,0.0119,3e-04,0,0,0.3791,2e-04,0,0,0,0.0029,0,1e-04,0,1e-04,0,0,2e-04,9e-04,0,1e-04,0,0,0,0,0.3073,0,0.0267,"E02001049"
0.0188,6e-04,0,0.1213,4e-04,0.0012,0,0.0687,0.0976,0.0183,0.0471,0,0,0.0078,0,0.0325,0.0116,0.0024,0.0144,0,2e-04,0,0,0.003,0,0,0.0126,0,3e-04,0,0,0,0.1024,0.0155,4e-04,0.0061,0,0,0.0035,0.0437,2e-04,0,0,0,1e-04,0.3456,0.0099,0.0072,0,0.0061,"E02001050"
0,1e-04,0,0,0,5e-04,0,0,0.1215,0,0.0679,0.0492,0,0,0,0.0335,0.0043,0,0.331,0.0033,7e-04,0,0.0616,0,0.0307,0.2081,0,0,0,0.0608,0,0.0031,0.0044,9e-04,0,1e-04,0,0,2e-04,0,0.003,0.0083,1e-04,3e-04,0,0,0,0,0,0.0062,"E02001051"
0,0,0,0.1152,0,0,0.0057,0,0.0594,0,0,0,0,0,1e-04,0.0031,0.0058,0.0243,0,7e-04,5e-04,0.0201,0,0,0,0,0,0.0051,0.0109,0.3067,0.0503,0.0156,0.0076,0,7e-04,0.0931,0.0429,1e-04,0.146,0,0,0.0133,0,0,0,0.0319,1e-04,0,0.0407,1e-04,"E02001052"
0,2e-04,0,0,0.0284,0.0293,0.0026,0,0,0,1e-04,0,0.1189,3e-04,0.0021,0.0121,0.109,0.0177,0,0.0251,0.0053,0,0.0037,0.1043,0.001,0,0,0.0148,2e-04,0.0499,0,0,0,0,0.1178,0.0032,0,0,0,8e-04,0,0.0087,0,0.0734,0,0.1259,0,0.0092,0,0.136,"E02001053"
7e-04,0.0105,0,0,0.0108,0,0,0,0.0389,0,0.1029,0.0011,0.0833,0,5e-04,0,0,0.0047,0.0596,0.19,0.0491,0.046,0,1e-04,1e-04,1e-04,1e-04,0,0,0,0.0445,0.0027,0.0056,0,0,0.0321,0,0,0,0.1082,0.0023,0,0.0054,0.0629,0.0685,0.0119,0,0.0182,0,0.0391,"E02001055"
0,0,0,0,0.0671,5e-04,0.4045,0,0,0.0025,0.0058,0.0023,0.0526,0.0045,0.0079,0.0143,0,2e-04,0,0.0019,0.0057,0.0035,0.0026,0,0.0418,0,0,0,0.02,0.0054,0,0,0.1359,0,0,0.0015,0,0,0,0,5e-04,0,0.0054,0.0185,5e-04,0.019,0,0.1755,0,0,"E02001056"
0,0.0161,0.0011,9e-04,0.0122,0,0,0.0022,0.0411,0,4e-04,0.0067,0,4e-04,0,2e-04,0,0,0.0541,0,0.0046,0.0541,0.0562,0.001,0,0,0,0,0,0,0.0074,0,0,0.0827,0.0042,0,0.1987,0,0.0136,0.0702,0.0359,0.0027,0,0,0.0046,0.2079,0.0405,0.0762,0.0035,3e-04,"E02001057"
0.0093,0.2101,1e-04,0,0,7e-04,0,7e-04,0.0248,0,0,0,2e-04,0.0093,0,0,0,0.0437,0,0,0,0.0055,0.0058,0.1541,0.0325,1e-04,0.0202,0.0084,1e-04,0,0.0142,1e-04,0,0,0.0856,0,0,0,0,0,0,1e-04,0.0645,9e-04,0.0015,0.0052,0,6e-04,0.3018,0,"E02001059"
0,0.0841,0,0.0081,1e-04,0.0064,0,0.0048,8e-04,0,0.0057,0,0.0657,0.0012,0.0044,0.001,0,0,0,0,0,0.0024,0.0206,0.0273,0.1827,0,0.0028,0,0.0012,0,0.0237,0,0,0.1839,5e-04,0,1e-04,0,0,0,0.0014,3e-04,0,0.3506,0.0146,0.0048,3e-04,0,0,0,"E02001061"
0.0018,9e-04,0.0054,2e-04,0.0018,0.3661,0.0018,0.0015,0,0.0264,0.0125,0,0,0.0027,0.0286,0,0,3e-04,0,0,0.0036,0,0.0034,0,0.1031,5e-04,0.0044,0,0.1079,0.0436,0,0,0.0767,0.0578,0.0329,0,0,0,0,0.0333,0.0152,0,2e-04,0,0,0.0673,0,0,0,0,"E02001062"
0,0.0429,0,0,0,0,0.0627,0,0,1e-04,0.008,2e-04,0.0592,1e-04,0,0,0.0145,0.2266,3e-04,4e-04,0,0,0,0.0101,0,0,0,0,0,0,0.0018,0.0524,0,0,0,0,0,0.0382,0,0.2049,0,0,0,0,0.0012,1e-04,0.1462,0.1129,0.0158,0.0013,"E02001063"
0.0302,0.0186,0,0,0,7e-04,0,0,0.0727,0.0345,0,0.0359,0.175,0,0.111,0,0,0,0,1e-04,0,0.0046,0.135,0,1e-04,0,0.1296,0,0.026,0,0.0029,0,0,0.1052,0,0.0059,0.0044,3e-04,0,2e-04,0.0343,0.0036,0.0581,0,2e-04,0,0,0.0105,0,4e-04,"E02001064"
0.0059,0,5e-04,0,0.0898,0,0,8e-04,0.0395,0,8e-04,0,0,1e-04,0,0,0.015,0,0.0077,0.4249,0,0.0152,0.0111,1e-04,0,0.0103,0,0.0473,0.0177,0.0022,0,8e-04,0,0,0.0149,0,0,0.0124,5e-04,0.0022,0.2491,0.0097,9e-04,0,0,0.0163,1e-04,0,0.0041,0,"E02001065"
0,0.0628,0.0103,0.0183,0.1781,0,0.001,0.0017,0,0,0.0413,0,0,1e-04,0,0.2033,2e-04,1e-04,0.0068,0,0.0123,0,0,0.0629,0.002,0,0.0026,0.0022,0,0,0.1803,0,0.0043,0.0313,0.0149,0,0,0,0.001,0,0.0121,0.023,0.0198,0,0,0,2e-04,0.107,0,0,"E02001066"
3e-04,0.0181,0,0.122,0,0.0333,0,0.0028,0,0.2393,0.0171,0,0,0,0,0.0325,0,0,0,0.0151,0.0118,2e-04,0.005,3e-04,0,0,0.0065,0,0.3829,1e-04,0.0127,0,0,0.0013,3e-04,0,0,0,0.0065,0,0,0.0026,0,0.0376,0.022,0,0,0,0,0.0295,"E02001067"
0.0918,0,0,0,3e-04,0,0,0,0,0,0,1e-04,1e-04,4e-04,0.0454,0.0047,0,0.2497,0,0,0.0086,3e-04,0,0,0.003,0,0.1376,7e-04,0,0,0,0.1116,0,0,0.004,0.3171,0.0073,0,1e-04,0.0055,0,0.0012,0,0,0.0061,0,0,0,0,0.0042,"E02001068"
0.0135,0.0305,0.031,0.066,0,1e-04,0.4093,0,0,0,0.0374,0.0178,0,0,0.1684,0.0142,0,0.0067,0,0.0654,1e-04,0,0,1e-04,2e-04,0,0,0,0,0,0.0011,0,0,1e-04,0,0,0,0.0033,9e-04,0.0155,0.0463,0.0122,0.003,0,0,0,0.0149,0,0,0.0419,"E02001069"
0.0027,0,0,9e-04,0.093,0.0012,0.1954,0,0,0,0,0,1e-04,3e-04,1e-04,8e-04,0.0036,0,1e-04,0,0.127,0.0633,0,0,0,0.043,0.0065,0,0.0012,0,0,0.2772,0.0069,0.0944,0,0,0.0091,0,0.0053,0.0605,0.0058,0,0,0.0017,0,0,0,0,0,0,"E02001070"
0.0094,0.0204,0.0049,0,0,0,0,0.2575,0,0.0234,0,0,0,0,0,0.0044,0.1798,0.0037,0,0.0017,0.0028,0,0,0,0.001,0,0.1562,0,0,0.0166,0,0.0995,1e-04,4e-04,0,0.0357,0.0066,0,0,1e-04,0.0614,0.0517,0.0014,0.0475,0,0.0021,3e-04,0.0051,0.0063,0,"E02001071"
0.3759,0,0.0189,0.0031,0,0.0264,1e-04,0,0,0,9e-04,7e-04,4e-04,0,0,0,0.0112,0,0,0.0389,0,6e-04,0.0095,3e-04,0.0042,2e-04,0,0,0.2602,3e-04,0,0,0.0353,0,3e-04,0,0,0,0.1084,0,0.0012,0,0.0407,0.0608,0,2e-04,0,0.0012,0,0,"E02001072"
0,0,3e-04,1e-04,0.0162,0.0062,0,0,0.4146,0,0,0.2545,0,0,0.002,0,0,0.004,0,0,0.0128,0.174,0,0.0078,0.0055,2e-04,0,0.0308,0,0.0301,0.0073,0,0,0,0,0,0,0,0,0.0059,3e-04,0,7e-04,0,0.001,0.0219,3e-04,0,0.0031,6e-04,"E02001073"
2e-04,0,0.0084,0,0,0.0146,4e-04,0,1e-04,0,0,0.001,0.1398,0,0.0167,0.029,0.0018,0,4e-04,0.0048,0.0559,0,0,0,0.0388,0.016,0.0341,6e-04,0.0119,0,0.0016,0.0026,0,0.0101,0.0104,0,0.0037,3e-04,1e-04,0.2317,0,0,0.0126,0.1835,7e-04,1e-04,0.1022,0.0025,0.0633,0,"E02001074"
0,0.1434,0,0.0023,3e-04,0,0.0034,0.0087,2e-04,0.0022,0.0014,0,0,0.0063,0,0,0.0037,0,0,0,0.0168,0.008,0,0.2208,0.0063,0,7e-04,0,0.0087,0,1e-04,0,0,0.001,4e-04,0.0172,0.0653,0.0908,0,6e-04,0,0,0,0.0069,0,0.013,0.3642,0.0074,0,0,"E02001075"
0,0.1034,0,0.0041,0.0516,0,0.0059,0.0133,0.0025,0,0.0015,0,0,0,0,0,0.0037,0,0,0.0132,0.0015,0.0163,0,0,0.0064,5e-04,2e-04,0.4972,0.0018,0,0,1e-04,0,6e-04,0.0558,0,0.0191,0.0305,1e-04,2e-04,0,0,3e-04,0,0.0014,0,0.0838,0.0031,8e-04,0.0807,"E02001076"
0.0886,0,0,0,0,0,0,0,0,0.1325,3e-04,0.0112,9e-04,0,0,0,0,0,0.4276,0.0017,1e-04,0,0,0.0011,0.0924,0,5e-04,0,0,0,0.0414,9e-04,0.0299,1e-04,0,0,0,0,0.153,0,0,0.0164,0,1e-04,0,0,7e-04,0,5e-04,0,"E02001077"
0,0,3e-04,0.0059,0.0698,0,0,0,0,0,0.0232,0,0,0.0024,0.2897,0,1e-04,0.0013,0,0.0516,0.0933,0,0.0017,4e-04,0.0019,0,0.036,0,0.002,0.004,1e-04,0.0604,0,0,0.2015,0.0966,0.0011,0.0141,0,2e-04,0.0028,0.0202,0.0121,0,0.0049,0,3e-04,0.0013,0,4e-04,"E02001078"
0,0.0126,0,0.0482,0,0,0.0021,0,0,0.0051,0.014,0.1257,0.4047,0,0,0,1e-04,1e-04,8e-04,0,0,0,0,0,0,8e-04,0.0073,0.047,0.0286,0,0.214,0,0,0,1e-04,2e-04,0.0091,0.0011,0,0,0,0,0,0.0505,0.0021,0.001,0.0216,0.003,0,1e-04,"E02001079"
1e-04,0,0,0,0,0,1e-04,0,0.1017,0.1906,0.104,0.0078,0,3e-04,4e-04,0,0,0,0.001,0,0,0,0.0078,0,0,0,0.0247,4e-04,1e-04,0,0.0243,0.0104,0.0076,0,0,0.4002,0.0018,0,7e-04,0,0,3e-04,0.0785,0,0.0135,0,0.0032,7e-04,0.02,0,"E02001080"
0.0271,0,0,5e-04,0.0236,0.0361,9e-04,0,0.1178,0.0057,0,0,0,0.0088,0.018,0.07,0,0.0417,0,0,1e-04,0,0,0,0,0,9e-04,0,0,0.0034,0.09,0,0.1432,0.1854,9e-04,0,0.1048,1e-04,1e-04,0.0171,0,0,0.0492,0.0167,0,0,0,0,2e-04,0.0374,"E02001081"
0.022,1e-04,0.0292,0,0.0603,0,9e-04,3e-04,0.0556,0.0497,0.114,0.0198,0.0015,0,0,0,0.0104,1e-04,0.0308,0.0044,0,0.0325,0.0012,0.001,0,0.0949,0.0133,0.1613,0.0123,0,0,0.0573,0.001,0,2e-04,0.0146,0,0,0.0018,0.1245,0,8e-04,0,0,0.0471,1e-04,0.0149,0,0,0.0218,"E02001082"
0.2727,0,9e-04,0.0103,0,0,1e-04,0.004,0.0107,1e-04,0,0,0.0369,0.1632,0,4e-04,0.1838,0.0347,0.0695,0.0517,0.0031,0.0041,0,0,0,0,0,0.0015,0.0414,0.0013,0,0,0.0055,0,0.0094,0.0064,4e-04,0.002,0,0.077,0,8e-04,0,1e-04,7e-04,0,0,0.0071,0,0,"E02001083"
0,0,0,0,0,0.0063,0,0,0,0.1102,0.0092,0,0,0.0128,0.005,0.0093,0,0.0139,1e-04,0,0,0,0,6e-04,0,0.3369,1e-04,0,0.0047,0,0.1986,0,0,0,0.0162,0,0,0.2638,0.0052,0,4e-04,0.0053,0.001,1e-04,0,0,0,0,2e-04,0,"E02001084"
5e-04,0,0.0869,5e-04,0,0.0031,0.4092,0,0.2264,0.0022,0.0315,9e-04,0,0,0,0,0.0064,0,0.0047,0.1051,4e-04,0,0,1e-04,1e-04,0,0,0,0.0329,0,0.0499,0.0117,2e-04,0,0.0056,0,0.0097,0,0,0.0037,0.0041,0,0,0.0022,0.0014,0,1e-04,5e-04,0,0,"E02001085"
8e-04,0.065,0,2e-04,0,0,0,0,0,0.0118,0.1172,3e-04,0,0,0,0,1e-04,0,0.0088,6e-04,0.0059,0.1487,0.013,0.0014,0,0,0.0748,0.0683,5e-04,0,0.3052,0.0819,0.0015,0,0,0,0,0.0076,0,0,0.0296,0.0019,0,0.0209,3e-04,3e-04,0,0.0047,0.001,0.0274,"E02001086"
0,6e-04,0.019,0,0,0,0,0.0033,1e-04,0,0,0.0014,5e-04,0,0,0.0025,9e-04,0.0161,0,1e-04,0.0026,0,0,0.0589,0.0053,0.0877,0.0012,1e-04,0,0,0.0074,0,0,0,6e-04,0.5648,1e-04,0.0011,0.0045,0,0.0026,0.0426,6e-04,0,0,0,0.0893,0.0037,4e-04,0.0818,"E02001087"
0.004,0,0.004,1e-04,0.0143,0,0,0,0,0.1683,0,5e-04,0.0767,0.0167,0.0043,0,0.0102,0,0,0,0,0.0043,0,0,0.1944,0.1319,4e-04,0.0018,0,0.0026,0,0,0,0.0019,0,7e-04,0,0.0046,0.1143,0,0.1273,2e-04,0.0035,0.1088,0,1e-04,0.0026,0.0015,0,0,"E02001088"
6e-04,0,0.002,0.0036,0.0126,0,0.1492,0,4e-04,0.0013,9e-04,0,0.3285,0.016,0.0095,0.0347,0,0,0,0,0,2e-04,0,0,0,0.0155,0.1707,1e-04,0.0024,2e-04,0.0231,0.0046,8e-04,0.043,0,0.0019,0.0144,0,0,0.105,0,0,1e-04,0.0575,7e-04,2e-04,1e-04,2e-04,0,0,"E02001089"
0.1514,0,0.0326,0,0,0,1e-04,0.0016,0,0,0.0155,2e-04,0,1e-04,0.1999,0.1046,0.0264,0,0.0076,0,2e-04,0,0.0191,0,0.0411,0,0.0118,2e-04,0.0719,2e-04,0.0012,0,0.006,0,6e-04,0,1e-04,0,0,0,3e-04,0.0167,0,0.1787,0,0,0.1119,2e-04,0,0,"E02001090"
0,0,0,3e-04,0.0497,0,0,0,0.1441,0,0,0.044,0.0801,0.0052,0.1418,0.0132,0.0145,0.009,0,0,0,0.0147,0.0034,0,8e-04,8e-04,0.0134,0,0.0041,0.0195,0,0.1054,0.0612,0,0,0.0533,0.0028,0,0,0,7e-04,4e-04,0,0.0017,0,0,0,0.2121,0.0035,4e-04,"E02001091"
0,1e-04,0,0,0.0028,0.0476,0,0.1422,9e-04,0.1961,0,0,0,1e-04,0.3661,0.0065,0.0046,0,0.02,0,3e-04,0.002,5e-04,0,1e-04,0,1e-04,0.0244,0,0.0148,0.001,0,0.0013,0.0183,0.0069,0,0,0,0.0016,0.0058,0,1e-04,0.0127,6e-04,0,0.0463,0.0199,0.0541,0.0018,0,"E02001092"
0.006,0,0,0.0086,0,0.0022,0.0216,0,0.0013,0,0,0.0123,1e-04,0.0021,0,1e-04,2e-04,0,0.0188,0.0014,0.0078,0.0817,0.1067,0,0.0043,0.1734,0.0636,0.0121,0,7e-04,0,0,0.0081,0,0.2155,0.0031,0,0.0214,0.2057,1e-04,6e-04,0.0174,0,1e-04,0,0,7e-04,0,0,0.0024,"E02001093"
0,1e-04,0.1274,0,0.0126,0,0,0,0.0044,0.3108,0,8e-04,0,0,0.0012,5e-04,0.0215,0.0016,0.0349,0.0172,0,0,0.018,1e-04,0,3e-04,0,3e-04,6e-04,0,0.0466,7e-04,0,0,0,0.2376,0,0,1e-04,0.068,0,6e-04,3e-04,0,1e-04,7e-04,9e-04,0.0304,0,0.0618,"E02001094"
0.0036,6e-04,0,0,0,0.0174,0,0.0046,0,0.0815,0.0904,0.0017,0,0,0,2e-04,0,0,5e-04,2e-04,1e-04,0,0,0.0423,0.1012,0.0491,0.0255,0,6e-04,0,0,0,0,1e-04,0,0.003,0,0,0,0.0032,0.3588,0,0.0795,0.0153,3e-04,0,0,0,0,0.1203,"E02001095"
0.0713,0.0108,0.0031,0.0548,0,0,0,5e-04,0,0.0143,0,0.1439,0.2727,5e-04,0,2e-04,0.01,0.0261,0,0,0,0,0,0.0062,0,0,0,0,0.1022,0,1e-04,0,0.0972,0,0.1134,0.008,6e-04,0.0166,0,0.0046,0,0.0021,2e-04,0,0,0.0047,0,0,0.0203,0.0154,"E02001096"
0,0.0135,0,0.0026,0,0.1647,0,0,0.0494,0.0026,0.0162,0.0105,0,0,5e-04,0.0069,0,1e-04,1e-04,0,0,1e-04,0.0268,0,0.0101,0.054,0.0478,0,8e-04,0,1e-04,5e-04,0.0027,0,0.0989,0,7e-04,6e-04,0.0522,0,0,1e-04,0.0166,0.009,0.2974,0,0,0,1e-04,0.1143,"E02001097"
0.0071,0,0,0.0311,0.0043,6e-04,0.0276,0,0,0,0.0851,0,0.0753,0.0033,0,0,2e-04,1e-04,0,2e-04,0,1e-04,0.0142,0.1934,0,0,0,1e-04,0.0642,8e-04,0.0292,4e-04,0,0,0.257,0,0,0.0057,0.0254,0.0102,0.0077,1e-04,0,0.027,2e-04,0.126,0.0033,1e-04,0,0,"E02001098"
0.0527,0.126,0.1293,0.0062,0,0,1e-04,0,0,0,0.0022,0,7e-04,0.0101,0.001,0.0023,0,0.0018,0,0.0074,0,0.0013,0,0.0163,0.1516,0,1e-04,0.0013,0,8e-04,0,0,5e-04,0.0841,0.0599,0.0043,0,0,0,0.0196,0.0432,0.0174,0,0,0.2416,0.0026,0.0081,2e-04,0,0.0072,"E02001099"
0.0026,0.0012,0.0201,0,0.1962,8e-04,0,0,0,0.0083,4e-04,3e-04,5e-04,0.0117,0.005,0.0167,0.001,0,0.0302,0.0047,1e-04,0.0451,0.0242,0,0.0104,0.0082,0,0.1399,6e-04,0,0.0091,0.0226,1e-04,4e-04,0,0,0,0,0.0093,0,0,0,0.3048,0.0895,0,0.0287,0.0073,1e-04,0,0,"E02001100"
0,0.1625,0,0,0.0014,0.1387,1e-04,0,2e-04,0,0,0,0,0,1e-04,0,0,0.2693,0.0973,0.0016,0,0.0075,0.0254,0,0,0.0081,0,0.0011,0.0177,1e-04,7e-04,0,2e-04,0.2216,1e-04,3e-04,0.0231,0.0058,1e-04,1e-04,2e-04,0.0014,0.0032,0.0118,2e-04,0,0,0,0,0,"E02001101"
0,0.0207,0.0162,0.0059,0.0613,0,0.0866,0,0.0465,0,0.2252,0,0,0,0.1875,0,0,0,0,0.0013,0.0169,0,0.008,0,0.1025,0,3e-04,0,0,0.0041,1e-04,0.0027,1e-04,0.0042,0,0.0079,0.0164,0.0862,0,0,0,0.0044,0.0021,0,0,0.0023,0.0089,0.0022,0.0784,0.0011,"E02001102"
0.0033,0.0808,0,0.0284,2e-04,0,0,0,0,0,0,0.0026,2e-04,0.0124,1e-04,0,0,0,0.0389,0,0.0921,3e-04,5e-04,0,0,0.378,0,0.0195,0,0,0.2067,0,0.0192,0,0.0036,0.0106,0,0,0.0184,0.0082,2e-04,9e-04,0.0264,1e-04,0.0466,0,0.001,0,6e-04,0,"E02001103"
